infobox_type	proposed_category	count	was_included	include_in_future
cultivar	other	1621	0	0
hotel	business	1615	1	0
speedway_rider	person	1610	0	0
badminton_event	other	1588	0	0
landform	place	1584	1	0
glacier	place	1569	0	0
treaty	other	1563	1	0
ice_hockey_team	other	1563	0	0
lunar_crater	other	1554	0	0
bus_transit	other	1550	1	0
worldscouting	other	1548	0	0
beauty_pageant	other	1536	0	0
korean_television_name/auto	artifact	1531	0	0
nfl_season	other	1530	0	0
cfl_biography	person	1520	1	0
volleyball_player	person	1520	1	0
information_appliance	artifact	1499	1	0
monarch	person	1497	1	0
cycling_race	other	1497	0	0
motorcycle_rider	person	1490	1	0
cricket_tour	other	1490	0	0
waterfall	place	1472	1	0
mountain_pass	place	1443	1	0
earthquakes_in_month	other	1443	0	0
public_transit	other	1425	1	0
earthquake	event	1425	0	0
clergy	person	1422	1	1
korean_film_name/auto	artifact	1420	0	0
athlete	person	1405	1	0
football_country_season	pol_mil_organization	1388	0	0
u.s._legislation	other	1386	0	0
family	other	1384	1	0
gridiron_football_person	person	1380	1	1
former_country	pol_mil_organization	1378	1	0
australian_electorate	other	1377	0	0
field_hockey	other	1376	0	0
cricket_team	other	1375	0	0
rugby_union_season	other	1373	0	0
gaa_club	other	1364	0	0
individual_golf_tournament	other	1360	0	0
tennis_tournament	other	1358	0	0
music_genre	concepts	1354	1	0
christian_denomination	concepts	1348	1	0
language_family	concepts	1331	1	0
zoo	place	1330	0	0
sports_rivalry	other	1326	0	0
basketball_league_season	other	1326	0	0
gaa_player	person	1316	1	0
flag	other	1309	1	0
japanese	other	1309	1	0
individual_snooker_tournament	other	1303	0	0
uk_constituency_main	pol_mil_organization	1300	1	0
horseracing_personality	other	1299	1	0
monastery	place	1282	1	0
gene	other	1276	0	0
legislative_term	other	1269	0	0
color	other	1264	1	0
ncaa_football_yearly_game	other	1252	0	0
awards_list	other	1244	1	0
aero_engine	artifact	1242	0	0
national_basketball_team	other	1219	0	0
fivb_tournament	other	1214	0	0
book_series	other	1213	1	0
protein	other	1201	0	0
hiking_trail	other	1201	1	0
rfam	other	1188	0	0
golf_season	other	1183	0	0
racing_car	other	1176	1	0
football_official	other	1167	1	0
war_faction	pol_mil_organization	1161	1	0
cricket_ground	other	1145	1	0
swimming_event	other	1141	0	0
npb_player	person	1124	1	0
diplomatic_mission	pol_mil_organization	1120	0	0
institute	other	1096	1	0
figure_skating_competition	person	1091	0	0
judo_competition_event	other	1087	0	0
tunnel	place	1070	0	0
alpine_ski_racer	other	1070	0	0
automobile_engine	artifact	1057	0	0
chef	person	1053	1	0
malaysia_electoral_district	other	1049	0	0
instrument	other	1041	0	0
settlement_al	place	1041	0	0
name	other	1039	0	0
diagnostic	other	1038	0	0
university_rankings	place	1038	0	0
mp	other	1035	1	0
coat_of_arms	other	1017	1	1
engineer	person	1016	1	0
scholar	person	1010	1	0
amusement_park	place	1009	1	0
medical_intervention	other	1007	0	0
beverage	other	1005	0	0
