infobox_type	proposed_category	count	was_included	include_in_future
cultivar	other	293	0	0
skier	person	293	0	0
jewish_leader	person	292	1	0
motorsport_venue	place	291	0	0
ncaa_baseball_conference_tournament	other	291	0	0
animal	other	287	1	0
flag	other	284	1	0
gaa_player	person	279	0	0
weather_event/jtwc	event	278	0	0
nfl_team_season	other	278	0	0
rugby_league_team_season	other	277	0	0
weather_event/tornado	event	277	0	0
mp	other	276	1	0
horseraces	other	275	0	0
basketball_club_season	other	274	0	0
publisher	business	273	0	0
figure_skating_competition	person	273	0	0
song_contest_entry	other	272	0	0
rail	other	270	0	0
prepared_food	other	264	0	0
netball_biography	person	263	1	0
england_and_wales_ward	other	262	0	0
sport_tournament	other	262	0	0
poem	other	262	0	0
bus_line	other	261	0	0
public_transit	other	259	0	0
cricket_club_season	other	258	0	0
port	place	257	0	0
football_official	other	254	1	0
earthquakes_in_month	other	254	0	0
historic_building	place	252	0	0
hurricane_small	event	250	0	0
table_tennis_player	other	249	1	0
mineral	other	248	0	0
russian_constituency	pol_mil_organization	246	0	0
canada_electoral_district	other	245	0	0
united_states_legislative_district	other	245	0	0
frazione	other	243	0	0
ice_hockey_team_season	other	240	0	0
comics_creator	other	240	1	0
economist	person	239	1	0
horseracing_personality	other	239	1	0
nba_season	other	236	0	0
summit_meeting	event	235	0	0
french_subdivision	other	235	0	0
alpine_ski_racer	other	233	0	0
hotel	business	232	0	0
waterfall	place	232	0	0
brand	other	232	0	0
chef	person	231	1	0
college_basketball_tournament	place	231	0	0
mexican_federal_electoral_district	other	231	0	0
information_appliance	artifact	230	0	0
stadium	place	229	0	0
dancer	person	229	1	0
music_festival	other	225	1	0
organisation	pol_mil_organization	225	0	0
surname	other	224	0	0
tunnel	place	223	0	0
book_series	other	223	0	0
nobility_title	other	222	0	0
clergy	person	221	1	1
sports_award	other	221	0	0
monastery	place	220	0	0
sports_draft	other	220	0	0
canadian_football_league_biography	person	219	1	0
cycling_championship	other	219	0	0
tropical_cyclone_small	event	219	0	0
individual_darts_tournament	other	218	0	0
author	person	218	1	0
public_transit_accident	event	214	1	0
windstorm_small	event	213	0	0
gaa_championship	other	206	0	0
war_faction	pol_mil_organization	206	1	0
institute	other	206	1	0
gaa_club	other	206	0	0
australian_rules_football_season	other	206	0	0
comet	other	205	0	0
sailing_competition	other	204	0	0
historical_event	event	203	1	1
office_holder	other	202	1	0
nobility	other	202	1	0
prison	place	201	1	0
rugby_union_biography	person	200	1	0
scholar	person	198	1	0
bus_transit	other	197	0	0
indian_politician	person	196	0	0
flood	event	195	0	0
cave	place	195	0	0
artefact	artifact	195	0	0
cycling_team	other	195	1	0
feature_on_celestial_object	other	193	0	0
rally	other	192	0	0
military_structure	other	190	0	0
climber	person	190	1	0
international_baseball_tournament	other	185	0	0
rpg	other	185	0	0
weather_event/jma	event	184	0	0
gene	other	184	0	0
international_ice_hockey_competition	other	184	0	0
central_committee_outline	other	184	0	0
military_award	other	183	1	0
criminal_organization	person	181	1	0
squash_player	person	181	0	0
valley	place	180	1	0
baseball_team	other	180	0	0
handball_club	other	179	0	0
motorcycle_rider	person	178	1	0
military_operation	event	178	1	0
spaceflight/dock	other	177	0	0
music_genre	concepts	176	0	0
motor_race	other	176	0	0
automobile_engine	artifact	176	0	0
monarch	person	175	1	0
order	other	175	0	0
temple	place	172	0	0
rugby_sevens	other	172	0	0
u.s._legislation	other	171	1	0
ambassador	person	170	1	0
administration	other	170	1	0
horse_race	other	169	0	0
motorsport_championship	other	169	0	0
athletics_competition	other	169	0	0
union	other	168	0	0
fraternity	other	168	0	0
urban_feature	other	166	0	0
diocese	other	165	0	0
german_place	place	165	0	0
fencer	person	164	0	0
pro_wrestling_championship	other	163	0	0
crater_data	other	163	0	0
athletics_race	other	162	0	0
legislative_session	other	162	0	0
unesco_world_heritage_site	place	160	1	0
media_franchise	other	160	1	0
snooker_player	person	160	0	0
portuguese_subdivision	other	160	1	0
weather_event/nws	event	159	0	0
lighthouse	place	159	0	0
sssi	other	159	0	0
christian_denomination	concepts	158	0	0
zoo	place	157	0	0
journalist	person	157	0	0
project	other	154	0	0
nebula	other	154	0	0
rocket/stage	artifact	153	0	0
rugby_tournament	other	152	0	0
indian_political_party	pol_mil_organization	151	1	0
hiking_trail	other	150	1	0
religious_text	other	150	1	0
cvg	other	149	0	0
medical_condition_(new)	other	148	0	0
darts_player	person	148	0	0
tennis_circuit_season	other	146	0	0
atp_challenger_tournament	other	145	0	0
national_badminton_team	other	145	0	0
opera	artifact	145	0	0
new_zealand_suburb	other	144	0	0
skyscraper	other	144	0	0
double_wintersport_world_cup	other	142	0	0
all-ireland_hurling	other	139	0	0
cricket_tournament_main	other	139	0	0
place	other	139	0	0
basketball_tournament_season	other	138	0	0
tennis_grand_slam_events	other	137	0	0
nfl_season	other	137	0	0
document	other	136	1	0
court	other	136	0	0
golf_facility	other	136	1	0
australian_road	place	136	0	0
camera	artifact	134	0	0
rugby_league_season	other	134	0	0
coat_of_arms	other	133	1	0
rugby_league_football_competition	other	133	0	0
cricket_series	other	131	0	0
mountain_pass	place	130	0	0
cycling_season	other	130	0	0
artwork/wikidata	artifact	128	0	0
news_event	event	128	1	0
